timestamp,Q,PQT1,PQT2
2020-05-21 13:00:00,162.93,159.07368,163.82211
2020-05-21 13:00:00,186.52,179.36469,166.5561
2020-05-21 13:30:00,173.93,180.22212,177.63675
2020-05-21 14:30:00,190.47,182.48204,176.65773
2020-05-21 15:00:00,193.25,189.87422,176.45598
2020-05-21 15:30:00,194.08,189.07507,187.19705
2020-05-21 16:00:00,193.03,187.59564,181.17801
2020-05-21 16:30:00,192.21,187.16861,175.65358
2020-05-21 18:00:00,183.64,177.86485,176.65288
2020-05-21 18:30:00,180.18,174.35132,168.78893
2020-05-21 19:00:00,180.73,174.18477,169.8108
2020-05-21 19:00:00,179.65,175.66737,165.71236
2020-05-21 19:30:00,180.14,174.30907,168.02707
2020-05-21 20:30:00,180.47,174.54492,167.51279
2020-05-21 21:00:00,180.09,176.36102,166.36452
2020-05-21 21:30:00,180.2,174.40523,170.28984
2020-05-21 22:00:00,183.7,178.04382,168.20633
2020-05-21 22:30:00,182.45,176.97943,169.64679
2020-05-22 07:00:00,154.03,155.43684,167.49844
2020-05-22 08:30:00,163.86,159.9283,164.70029
2020-05-22 09:00:00,168.5,166.1388,168.29863
2020-05-22 09:30:00,172.22,165.97897,166.44997
2020-05-22 10:00:00,183.81,179.96262,161.07278
2020-05-22 10:00:00,183.58,182.6419,175.01025
2020-05-22 10:30:00,183.73,176.53125,173.2803
2020-05-22 11:30:00,182.15,172.69977,170.08595
2020-05-22 13:00:00,186.35,176.29022,165.13728
2020-05-22 13:00:00,174.33,173.39091,164.30988
2020-05-22 13:30:00,174.81,171.71825,167.70837
2020-05-22 14:30:00,188.17,181.60577,176.99358
2020-05-22 15:00:00,191.31,186.72269,174.066
2020-05-22 15:30:00,191.89,180.73499,178.91661
2020-05-22 18:30:00,180.72,175.80563,165.99605
2020-05-22 19:00:00,175.54,179.17593,173.34908
2020-05-22 19:00:00,175.85,171.48816,183.3762
2020-05-22 19:30:00,176.97,171.3814,165.55086
2020-05-22 20:30:00,176.54,169.69415,164.78705
2020-05-22 21:00:00,175.75,169.62967,164.29521
2020-05-22 21:30:00,176.88,168.6786,165.46822
2020-05-22 22:00:00,184.64,176.13918,163.32751
2020-05-22 22:00:00,184.59,177.09366,166.56052
2020-05-22 22:30:00,184.64,177.12155,166.9282
2020-05-23 13:00:00,157.31,154.16245,166.54646
2020-05-23 13:00:00,183.37,178.27316,163.57043
2020-05-23 13:30:00,164.65,175.00967,166.63464
2020-05-23 14:30:00,186.06,176.10022,174.21129
2020-05-23 15:30:00,190.56,185.15846,171.63954
2020-05-23 16:00:00,187.19,181.66412,178.58478
2020-05-23 16:30:00,187.93,178.86166,167.00093
2020-05-23 18:30:00,185.42,182.18326,168.08328
2020-05-23 19:00:00,186.64,183.86815,172.02005
2020-05-23 19:00:00,184.88,182.17772,175.89816
2020-05-23 19:30:00,187.22,180.69824,174.02554
2020-05-23 20:30:00,188.73,179.65143,171.24164
2020-05-23 21:00:00,188.2,178.43997,168.95541
2020-05-23 21:30:00,187.86,176.95224,166.41736
2020-05-23 22:00:00,184.94,174.84105,165.71236
2020-05-23 22:30:00,191.61,181.09618,163.10341
2020-05-24 09:00:00,168.71,169.18246,168.09729
2020-05-24 09:30:00,172.91,168.99643,166.9565
2020-05-24 10:00:00,182.35,178.70366,177.3825
2020-05-24 10:00:00,180.44,179.41348,175.40105
2020-05-24 10:30:00,181.63,174.95885,170.09348
2020-05-24 13:00:00,173.46,172.75108,167.58168
2020-05-24 13:30:00,167.31,163.88458,165.38707
2020-05-24 14:30:00,176.07,174.62717,170.40044
2020-05-24 15:00:00,179.04,176.27937,169.39864
2020-05-24 15:30:00,181.29,177.30386,171.22534
2020-05-24 16:00:00,179.59,174.6905,171.59537
2020-05-24 16:00:00,178.2,171.22282,165.94482
2020-05-24 16:30:00,179.38,172.8194,165.0315
2020-05-24 17:30:00,177.85,172.51483,166.7012
2020-05-24 18:00:00,181.7,175.05049,166.25922
2020-05-24 18:30:00,180.59,177.20131,167.69313
2020-05-24 19:00:00,178.01,172.71288,168.94536
2020-05-24 19:00:00,180.97,173.79538,162.79988
2020-05-24 19:30:00,181.86,176.48099,166.11545
2020-05-24 20:30:00,176.02,169.79533,167.46649
2020-05-24 21:00:00,176.87,169.22205,160.06749
2020-05-24 21:30:00,176.85,172.51735,164.58328
2020-05-24 22:00:00,186.22,182.33421,163.04236
2020-05-24 22:00:00,188.39,184.84256,173.73187
2020-05-24 22:30:00,186.67,186.25237,179.45116
2020-05-24 23:30:00,188.39,186.41783,179.26448
2020-05-25 13:00:00,156.88,156.1451,178.66808
2020-05-25 13:00:00,173.51,168.67888,169.76215
2020-05-25 13:30:00,164.53,168.13948,178.73611
2020-05-25 14:30:00,173.64,,163.05794
