timestamp,Q
2020-05-23 15:30:00,190.56
2020-05-23 16:00:00,187.19
2020-05-23 16:30:00,187.93
2020-05-23 18:30:00,185.42
2020-05-23 19:00:00,186.64
2020-05-23 19:00:00,184.88
2020-05-23 19:30:00,187.22
2020-05-23 20:30:00,188.73
2020-05-23 21:00:00,188.2
2020-05-23 21:30:00,187.86
2020-05-23 22:00:00,184.94
2020-05-23 22:30:00,191.61
2020-05-24 09:00:00,168.71
2020-05-24 09:30:00,172.91
2020-05-24 10:00:00,182.35
2020-05-24 10:00:00,180.44
2020-05-24 10:30:00,181.63
2020-05-24 13:00:00,173.46
2020-05-24 13:30:00,167.31
2020-05-24 14:30:00,176.07
2020-05-24 15:00:00,179.04
2020-05-24 15:30:00,181.29
2020-05-24 16:00:00,179.59
2020-05-24 16:00:00,178.2
2020-05-24 16:30:00,179.38
2020-05-24 17:30:00,177.85
2020-05-24 18:00:00,181.7
2020-05-24 18:30:00,180.59
2020-05-24 19:00:00,178.01
2020-05-24 19:00:00,180.97
2020-05-24 19:30:00,181.86
2020-05-24 20:30:00,176.02
2020-05-24 21:00:00,176.87
2020-05-24 21:30:00,176.85
2020-05-24 22:00:00,186.22
2020-05-24 22:00:00,188.39
2020-05-24 22:30:00,186.67
2020-05-24 23:30:00,188.39
2020-05-25 13:00:00,156.88
2020-05-25 13:00:00,173.51
2020-05-25 13:30:00,164.53
2020-05-25 14:30:00,173.64
